ID,FHL_DICT_Numeric,PFS_Numeric,PFS_Unicode,Hakfa_IPA,Hanzi,Tai-gi,Hakfa-exp,Hua-gi,Eng-gi
19507,theu3-ha,theu2-ha4,thèu-ha,[tʰeu˩˩] [ha˥˥],頭下,,,,
19508,theu3-ho,theu2-ho4,thèu-ho,[tʰeu˩˩] [ho˥˥],頭號,,,,
19509,theu3-hong,theu2-hong4,thèu-hong,[tʰeu˩˩] [hoŋ˥˥],頭項,,,,
19510,theu3-hin3,theu2-hin2,thèu-hìn,[tʰeu˩˩] [hin˩˩],頭慇,,,,
19511,theu3-hong3,theu2-hong2,thèu-hòng,[tʰeu˩˩] [hoŋ˩˩],投降,,,,
19512,theu3-kho,theu2-kho4,thèu-kho,[tʰeu˩˩] [kʰo˥˥],投靠,,,,
19513,theu3-khui5,theu2-khui1,thèu-khûi,[tʰeu˩˩] [kʰui˨˦],頭盔,,,,
19514,theu3-ka5-ngiong3,theu2-ka1-ngiong2,thèu-kâ-ngiòng,[tʰeu˩˩] [ka˨˦] [ɲioŋ˩˩],頭家娘,,,,
19515,theu3-ka5,theu2-ka1,thèu-kâ,[tʰeu˩˩] [ka˨˦],頭家,,,,
19516,theu3-kin5,theu2-kin1,thèu-kîn,[tʰeu˩˩] [kin˨˦],頭巾,,,,
19517,theu3-lu,theu2-lu4,thèu-lu,[tʰeu˩˩] [lu˥˥],頭路,,,,
19518,theu3-miang3,theu2-miang2,thèu-miàng,[tʰeu˩˩] [miaŋ˩˩],頭名,,,,
19519,theu3-muk,theu2-muk6,thèu-muk,[tʰeu˩˩] [muk̚˨],頭目,,,,
19520,theu3-mi5,theu2-mi1,thèu-mî,[tʰeu˩˩] [mi˨˦],頭尾,,,,
19521,theu3-no2,theu2-no3,thèu-nó,[tʰeu˩˩] [no˧˩],頭腦,,,,
19522,theu3-ngit,theu2-ngit6,thèu-ngit,[tʰeu˩˩] [ɲit̚˨],頭日,,,,
19523,theu3-ngien3,theu2-ngien2,thèu-ngièn,[tʰeu˩˩] [ɲien˩˩],頭年,,,,
19524,theu3-ngin3,theu2-ngin2,thèu-ngìn,[tʰeu˩˩] [ɲin˩˩],頭人,,,,
19525,theu3-na3-hok,theu2-na2-hok6,thèu-nà-hok,[tʰeu˩˩] [na˩˩] [hok̚˨],頭那殼,,,,
19526,theu3-na3-mo5,theu2-na2-mo1,thèu-nà-mô,[tʰeu˩˩] [na˩˩] [mo˨˦],頭那毛,,,,
19527,theu3-na3,theu2-na2,thèu-nà,[tʰeu˩˩] [na˩˩],頭那,,,,
19528,theu3-pai2,theu2-pai3,thèu-pái,[tʰeu˩˩] [pai˧˩],頭擺,,,,
19529,theu3-puk,theu2-puk6,thèu-puk,[tʰeu˩˩] [puk̚˨],頭幅,,,,
19530,theu3-sak8,theu2-sak5,thèu-sa̍k,[tʰeu˩˩] [sak̚˥],投石,,,,
19531,theu3-sien5,theu2-sien1,thèu-siên,[tʰeu˩˩] [ɕien˨˦],頭先,,,,
19532,theu3-song,theu2-song4,thèu-song,[tʰeu˩˩] [soŋ˥˥],頭上,,,,
